id,satker,tahun,id_indikator,penanggungjawab,bulan_target,bulan_realisasi,link_buktidukung,jumlah_dokumen,progres_tw1,progres_tw2,progres_tw3,progres_tw4,progres_th,status_dokumen,komentar_evaluator1,komentar_operator1,rencanaaksi,output,created_by_1,created_at_1,created_by_2,created_at_2,created_by_3,created_at_3,created_by_4,created_at_4,created_by_5,created_at_5
1,1100,2025,5,"goen,nurh","1,2,3","2,3",https://drive.google.com/drive/folders/18hq59W4j75IXp6VOG3lw1R5yCLUlGNrq?usp=sharing,,,,,,,3,"1.SK Tim CAN belum ada 
2. Daftar hadir atau sertifikat bukti keikutsertaan Pembinaan Tim kerja
3. BUkti keikutsertaan TIM CAN",,"1. Rapat Pembentukan Tim Kerja Pembangunan ZI BPS Provinsi Aceh Tahun 2025
Topik: Struktur serta Uraian Tugas dan Fungsi Tim Kerja Pembangunan ZI BPS Provinsi Aceh Tahun 2025
2. Pembinaan Tim Kerja Pembangunan ZI Tahun 2025
Topik: Pedoman Pembangunan ZI Tahun 2025
3. Seleksi dan Pembentukan Tim CAN BPS Provinsi Aceh Tahun 2025
4. Pembinaan Tim CAN Tahun 2025","- SK Tim Kerja Pembangunan ZI BPS Provinsi Aceh Tahun 2025
- SK Tim CAN BPS Provinsi Aceh Tahun 2025
- Keikutsertaan Tim Kerja Pembangunan ZI BPS Provinsi Aceh Tahun 2025 dalam Pembinaan ZI Tahun 2025 Lebih dari 50%
- Keikutsertaan Tim CAN BPS Provinsi Aceh Tahun 2025 dalam Pembinaan Tim CAN Tahun 2025 Lebih dari 50%",,,,,alfisyah,,,,,
2,1100,2025,6,"goen,nurh","1,2,3","2,3",https://drive.google.com/drive/folders/1QjUfUztovxIrzqz7iZmBW769_57q4GzJ?usp=sharing,,,,,,,3,bukti dukung belum di upload,,"1. Rapat Pembentukan Tim Kerja ZI BPS Provinsi Aceh Tahun 2025
Topik: Struktur serta Uraian Tugas dan Fungsi Tim Kerja
2. Seleksi dan Pembentukan Tim CAN BPS Provinsi Aceh Tahun 2025","- Notula/laporan pelaksanaan rapat pembentukan Tim Kerja Pembangunan ZI Tahun 2025
- SOP Pembentukan Tim Kerja Pembangunan ZI Tahun 2025
- Kertas Kerja Penentuan Anggota Tim Kerja Pembangunan ZI Tahun 2025
- Kertas Kerja Penentuan Tim CAN Tahun 2025",,,,,alfisyah,,,,,
3,1100,2025,8,"goen,nurh","3,4,5",4,https://drive.google.com/drive/folders/1jXRKjCoYeULwxVotapR_MVA9L4Edm_4l?usp=sharing,,,,,,,3,bukti dukung belum di upload,,Rapat Penyusunan Pedoman Pembangunan ZI BPS Provinsi Aceh Tahun 2025,Dokumen Pedoman Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (mencakup Susunan Tim Pembangunan ZI; Target prioritas; Rencana kerja dan rencana aksi; Timeline rencana dan realisasi; Tempat/format monev dan laporan),,,,,alfisyah,,,,,
4,1100,2025,9,"goen,nurh","3,4,5",,https://drive.google.com/drive/folders/1nvw4R9keLPMrCI9FR6y-K-lbRz9lbrYS?usp=sharing,,,,,,,3,bukti dukung belum di upload,,Rapat Penyusunan Pedoman Pembangunan ZI BPS Provinsi Aceh Tahun 2025,Dokumen Pedoman Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (mencakup Susunan Tim Pembangunan ZI; Target prioritas; Rencana kerja dan rencana aksi; Timeline rencana; Tempat/format monev dan laporan),,,,,alfisyah,,,,,
5,1100,2025,10,"goen,nurh","3,4,5",,https://drive.google.com/drive/folders/1no20xcrH73oeLrd9J0leaCh20U7WGHHJ?usp=sharing,,,,,,,3,bukti dukung belum di upload,,"1. Sosialisasi Tim Kerja Pembangunan ZI BPS Provinsi Aceh Tahun 2025
2. Sosialisasi Pembangunan Pembangunan ZI BPS Provinsi Aceh Tahun 2025","Laporan Sosialisasi Pembangunan ZI BPS Provinsi Aceh Tahun 2025
(mencakup rencana dan realisasi konten sosialisasi kepada internal dan stakeholder secara offline dan online dilengkapi dokumentasi kegiatan (undangan, daftar hadir, notula, materi, foto/video), screen capture website, media sosial, ataupun foto kegiatan terkait serta link terkait)
",,,,,alfisyah,,,,,
6,1100,2025,12,"goen,nurh",,,https://drive.google.com/drive/folders/1fWlgU-BSVfBY4cMFMXZosH_qcJV0gqaF?usp=drive_link,,,,,,,3,"- Target dan realisasi tiidak tersedia
- Bukti dukung tidak tersedia di Link bukti dukung",,"1. Rapat Monitoring dan Evaluasi Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (triwulanan)
2. Rapat Penyusunan Laporan Pembangunan ZI BPS Provinsi Aceh Tahun 2025","- Laporan Monitoring dan Evaluasi Triwulanan Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (mencakup rencana dan realisasi; kendala dan solusi; rekomendasi tindak lanjut)
- Laporan Pelaksanaan Pembangunan ZI BPS Provinsi Aceh Tahun 2025 ",,,,,alfisyah,,,,,
7,1100,2025,13,"goen,nurh",,,https://drive.google.com/drive/folders/1rgxOpb2FY7AKN7VOtdqVb0KPYGtGB6v4?usp=drive_link,,,,,,,3,"- Target dan realisasi tiidak tersedia
- Bukti dukung tidak tersedia di Link bukti dukung",,Rapat Monitoring dan Evaluasi Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (triwulanan),Laporan Monitoring dan Evaluasi Triwulanan Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (mencakup rencana dan realisasi; kendala dan solusi; rekomendasi tindak lanjut),,,,,alfisyah,,,,,
8,1100,2025,14,"goen,nurh",,,https://drive.google.com/drive/folders/1wQzsiHC9BPMnj-m2iUayfNGH05ulwAeS?usp=drive_link,,,,,,,3,"- Target dan realisasi tiidak tersedia
- Bukti dukung tidak tersedia di Link bukti dukung",,Rapat Monitoring dan Evaluasi Pembangunan ZI BPS Provinsi Aceh Tahun 2025 (triwulanan),"laporan monitoring dan evaluasi yang memuat rekomendasi;
Laporan hasil tindak lanjut rekomendasi;
Dokumentasi pelaksanaan tindak lanjut. pimpinan.""",,,,,alfisyah,,,,,
9,1100,2025,16,"goen,nurh",,,https://drive.google.com/drive/folders/1iviGyw1nohCb9So9LjHtDU-bS1Agqxpw?usp=drive_link,,,,,,,3,"- Target dan realisasi tiidak tersedia
- Bukti dukung tidak tersedia di Link bukti dukung",,,"Laporan tahunan penerapan nilai-nilai organisasi (BerAKHLAK) 
",,,,,alfisyah,,,,,
10,1100,2025,17,"goen,nurh",,,https://drive.google.com/drive/folders/1E4R-djWt--w3XKYHxHMXuVuLyi4LB15c?usp=drive_link,,,,,,,3,"- Target dan realisasi tiidak tersedia
- Bukti dukung tidak tersedia di Link bukti dukung",,- Rapat seleksi/penentuan Change Champrion dan Change Ambassador,"SK Agen Perubahan satuan kerja (Change Champion dan/ Change Ambassador)

Laporan agen perubahan satuan kerja",,,,,alfisyah,,,,,
